Table ID,Line,UniqueID,Stub,Data Release
B01001G,19,B01001G_019,5 to 9 years ,
B01001G,20,B01001G_020,10 to 14 years ,
B01001G,21,B01001G_021,15 to 17 years ,
B01001G,22,B01001G_022,18 and 19 years ,
B01001G,23,B01001G_023,20 to 24 years ,
B01001G,24,B01001G_024,25 to 29 years ,
B01001G,25,B01001G_025,30 to 34 years ,
B01001G,26,B01001G_026,35 to 44 years ,
B01001G,27,B01001G_027,45 to 54 years ,
B01001G,28,B01001G_028,55 to 64 years ,
B01001G,29,B01001G_029,65 to 74 years ,
B01001G,30,B01001G_030,75 to 84 years ,
B01001G,31,B01001G_031,85 years and over ,
,,,,
C01001G,,,SEX BY AGE (TWO OR MORE RACES),1
C01001G,,,Universe:  People who are Two or More Races,
C01001G,1,C01001G_001,Total:,
C01001G,2,C01001G_002,Male:,
C01001G,3,C01001G_003,Under 18 years,
C01001G,4,C01001G_004,18 to 64 years,
C01001G,5,C01001G_005,65 years and over,
C01001G,6,C01001G_006,Female:,
C01001G,7,C01001G_007,Under 18 years,
C01001G,8,C01001G_008,18 to 64 years,
C01001G,9,C01001G_009,65 years and over,
,,,,
B01001H, ,,"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)","1,5"
B01001H, ,,"Universe:  White alone, not Hispanic or Latino population ",
B01001H,1,B01001H_001,Total:,
B01001H,2,B01001H_002,Male:,
B01001H,3,B01001H_003,Under 5 years ,
B01001H,4,B01001H_004,5 to 9 years ,
B01001H,5,B01001H_005,10 to 14 years ,
B01001H,6,B01001H_006,15 to 17 years ,
B01001H,7,B01001H_007,18 and 19 years ,
B01001H,8,B01001H_008,20 to 24 years ,
B01001H,9,B01001H_009,25 to 29 years ,
B01001H,10,B01001H_010,30 to 34 years ,
B01001H,11,B01001H_011,35 to 44 years ,
B01001H,12,B01001H_012,45 to 54 years ,
B01001H,13,B01001H_013,55 to 64 years ,
B01001H,14,B01001H_014,65 to 74 years ,
B01001H,15,B01001H_015,75 to 84 years ,
B01001H,16,B01001H_016,85 years and over ,
B01001H,17,B01001H_017,Female:,
B01001H,18,B01001H_018,Under 5 years ,
B01001H,19,B01001H_019,5 to 9 years ,
B01001H,20,B01001H_020,10 to 14 years ,
B01001H,21,B01001H_021,15 to 17 years ,
B01001H,22,B01001H_022,18 and 19 years ,
B01001H,23,B01001H_023,20 to 24 years ,
B01001H,24,B01001H_024,25 to 29 years ,
B01001H,25,B01001H_025,30 to 34 years ,
B01001H,26,B01001H_026,35 to 44 years ,
B01001H,27,B01001H_027,45 to 54 years ,
B01001H,28,B01001H_028,55 to 64 years ,
B01001H,29,B01001H_029,65 to 74 years ,
B01001H,30,B01001H_030,75 to 84 years ,
B01001H,31,B01001H_031,85 years and over ,
 ,,,,
C01001H,,,"SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",1
C01001H,,,"Universe:  White alone, not Hispanic or Latino population",
C01001H,1,C01001H_001,Total:,
C01001H,2,C01001H_002,Male:,
C01001H,3,C01001H_003,Under 18 years,
C01001H,4,C01001H_004,18 to 64 years,
C01001H,5,C01001H_005,65 years and over,
C01001H,6,C01001H_006,Female:,
C01001H,7,C01001H_007,Under 18 years,
C01001H,8,C01001H_008,18 to 64 years,
C01001H,9,C01001H_009,65 years and over,
,,,,
B01001I, ,,SEX BY AGE (HISPANIC OR LATINO),"1,5"
B01001I, ,,Universe:  Hispanic or Latino population ,
B01001I,1,B01001I_001,Total:,
B01001I,2,B01001I_002,Male:,
B01001I,3,B01001I_003,Under 5 years ,
B01001I,4,B01001I_004,5 to 9 years ,
B01001I,5,B01001I_005,10 to 14 years ,
B01001I,6,B01001I_006,15 to 17 years ,
B01001I,7,B01001I_007,18 and 19 years ,
B01001I,8,B01001I_008,20 to 24 years ,
B01001I,9,B01001I_009,25 to 29 years ,
B01001I,10,B01001I_010,30 to 34 years ,
B01001I,11,B01001I_011,35 to 44 years ,
B01001I,12,B01001I_012,45 to 54 years ,
B01001I,13,B01001I_013,55 to 64 years ,
B01001I,14,B01001I_014,65 to 74 years ,
B01001I,15,B01001I_015,75 to 84 years ,
B01001I,16,B01001I_016,85 years and over ,
B01001I,17,B01001I_017,Female:,
B01001I,18,B01001I_018,Under 5 years ,
B01001I,19,B01001I_019,5 to 9 years ,
B01001I,20,B01001I_020,10 to 14 years ,
B01001I,21,B01001I_021,15 to 17 years ,
B01001I,22,B01001I_022,18 and 19 years ,
B01001I,23,B01001I_023,20 to 24 years ,
B01001I,24,B01001I_024,25 to 29 years ,
B01001I,25,B01001I_025,30 to 34 years ,
B01001I,26,B01001I_026,35 to 44 years ,
B01001I,27,B01001I_027,45 to 54 years ,
B01001I,28,B01001I_028,55 to 64 years ,
B01001I,29,B01001I_029,65 to 74 years ,
B01001I,30,B01001I_030,75 to 84 years ,
B01001I,31,B01001I_031,85 years and over ,
 ,,,,
C01001I,,,SEX BY AGE (HISPANIC OR LATINO),1
C01001I,,,Universe:  Hispanic or Latino population,
C01001I,1,C01001I_001,Total:,
C01001I,2,C01001I_002,Male:,
C01001I,3,C01001I_003,Under 18 years,
C01001I,4,C01001I_004,18 to 64 years,
C01001I,5,C01001I_005,65 years and over,
C01001I,6,C01001I_006,Female:,
C01001I,7,C01001I_007,Under 18 years,
C01001I,8,C01001I_008,18 to 64 years,
C01001I,9,C01001I_009,65 years and over,
,,,,
B01002, ,,MEDIAN AGE BY SEX,"1,5"
B01002, ,,Universe:  Total population,
B01002,0.5,,Median age --,
B01002,1,B01002_001,Total:,
B01002,2,B01002_002,Male,
B01002,3,B01002_003,Female,
 ,,,,
B01002A, ,,MEDIAN AGE BY SEX (WHITE ALONE),"1,5"
B01002A, ,,Universe:  People who are White alone,
B01002A,0.5,,Median age --,
B01002A,1,B01002A_001,Total:,
B01002A,2,B01002A_002,Male,
B01002A,3,B01002A_003,Female,
 ,,,,
B01002B, ,,MEDIAN AGE BY SEX (BLACK OR AFRICAN AMERICAN ALONE),"1,5"
B01002B, ,,Universe:  Black or African American alone,
B01002B,0.5,,Median age --,
B01002B,1,B01002B_001,Total:,
B01002B,2,B01002B_002,Male,
B01002B,3,B01002B_003,Female,
 ,,,,
B01002C, ,,MEDIAN AGE BY SEX (AMERICAN INDIAN AND ALASKA NATIVE ALONE),"1,5"
B01002C, ,,Universe:  People who are American Indian and Alaska Native alone,
B01002C,0.5,,Median age --,
B01002C,1,B01002C_001,Total:,
B01002C,2,B01002C_002,Male,
B01002C,3,B01002C_003,Female,
 ,,,,
B01002D, ,,MEDIAN AGE BY SEX (ASIAN ALONE),"1,5"
B01002D, ,,Universe:  People who are Asian alone,
B01002D,0.5,,Median age --,
B01002D,1,B01002D_001,Total:,
B01002D,2,B01002D_002,Male,
B01002D,3,B01002D_003,Female,
 ,,,,
B01002E, ,,MEDIAN AGE BY SEX (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),"1,5"
B01002E, ,,Universe:  People who are Native Hawaiian and Other Pacific Islander alone,
B01002E,0.5,,Median age --,
B01002E,1,B01002E_001,Total:,
B01002E,2,B01002E_002,Male,
B01002E,3,B01002E_003,Female,
 ,,,,
B01002F, ,,MEDIAN AGE BY SEX (SOME OTHER RACE ALONE),"1,5"
B01002F, ,,Universe:  People who are Some Other Race alone,
B01002F,0.5,,Median age --,
B01002F,1,B01002F_001,Total:,
B01002F,2,B01002F_002,Male,
B01002F,3,B01002F_003,Female,
 ,,,,
B01002G, ,,MEDIAN AGE BY SEX (TWO OR MORE RACES),"1,5"
B01002G, ,,Universe:  People who are Two or More Races,
B01002G,0.5,,Median age --,
B01002G,1,B01002G_001,Total:,
B01002G,2,B01002G_002,Male,
B01002G,3,B01002G_003,Female,
 ,,,,
B01002H, ,,"MEDIAN AGE BY SEX (WHITE ALONE, NOT HISPANIC OR LATINO)","1,5"
B01002H, ,,"Universe:  White alone, not Hispanic or Latino population",
B01002H,0.5,,Median age --,
B01002H,1,B01002H_001,Total:,
B01002H,2,B01002H_002,Male,
B01002H,3,B01002H_003,Female,
 ,,,,
B01002I, ,,MEDIAN AGE BY SEX (HISPANIC OR LATINO),"1,5"
B01002I, ,,Universe:  Hispanic or Latino population,
B01002I,0.5,,Median age --,
B01002I,1,B01002I_001,Total:,
B01002I,2,B01002I_002,Male,
B01002I,3,B01002I_003,Female,
,,,,
B01003,,,TOTAL POPULATION,"1,5"
B01003,,,Universe:  Total population,
B01003,1,B01003_001,Total,
,,,,
B02001,,,RACE,"1,5"
B02001,,,Universe:  Total population,
B02001,1,B02001_001,Total:,
B02001,2,B02001_002,White alone,
B02001,3,B02001_003,Black or African American alone,
B02001,4,B02001_004,American Indian and Alaska Native alone,
B02001,5,B02001_005,Asian alone,
B02001,6,B02001_006,Native Hawaiian and Other Pacific Islander alone,
B02001,7,B02001_007,Some other race alone,
B02001,8,B02001_008,Two or more races:,
B02001,9,B02001_009,Two races including Some other race,
B02001,10,B02001_010,"Two races excluding Some other race, and three or more races",
 ,,,,
B02003,,,DETAILED RACE,1
B02003,,,Universe:  Total population,
B02003,1,B02003_001,Total:,
B02003,2,B02003_002,Population of one race:,
B02003,3,B02003_003,White alone,
B02003,4,B02003_004,Black or African American alone,
B02003,5,B02003_005,American Indian and Alaska Native alone,
B02003,6,B02003_006,Asian alone,
B02003,7,B02003_007,Native Hawaiian and Other Pacific Islander alone,
B02003,8,B02003_008,Some other race alone,
B02003,9,B02003_009,Population of two or more races:,
B02003,10,B02003_010,Population of two races:,
B02003,11,B02003_011,White; Black or African American,
B02003,12,B02003_012,White; American Indian and Alaska Native,
B02003,13,B02003_013,White; Asian,
B02003,14,B02003_014,White; Native Hawaiian and Other Pacific Islander,
B02003,15,B02003_015,White; Some other race,
B02003,16,B02003_016,Black or African American; American Indian and Alaska Native,
B02003,17,B02003_017,Black or African American; Asian,
B02003,18,B02003_018,Black or African American; Native Hawaiian and Other Pacific Islander,
B02003,19,B02003_019,Black or African American; Some other race,
B02003,20,B02003_020,American Indian and Alaska Native; Asian,
B02003,21,B02003_021,American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander,
B02003,22,B02003_022,American Indian and Alaska Native; Some other race,
B02003,23,B02003_023,Asian; Native Hawaiian and Other Pacific Islander,
B02003,24,B02003_024,Asian; Some other race,
B02003,25,B02003_025,Native Hawaiian and Other Pacific Islander; Some other race,
B02003,26,B02003_026,Population of three races:,
B02003,27,B02003_027,White; Black or African American; American Indian and Alaska Native,
B02003,28,B02003_028,White; Black or African American; Asian,
B02003,29,B02003_029,White; Black or African American; Native Hawaiian and Other Pacific Islander,
B02003,30,B02003_030,White; Black or African American; Some other race,
B02003,31,B02003_031,White; American Indian and Alaska Native; Asian,
B02003,32,B02003_032,White; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander,
B02003,33,B02003_033,White; American Indian and Alaska Native; Some other race,
B02003,34,B02003_034,White; Asian; Native Hawaiian and Other Pacific Islander,
B02003,35,B02003_035,White; Asian; Some other race,
B02003,36,B02003_036,White; Native Hawaiian and Other Pacific Islander; Some other race,
B02003,37,B02003_037,Black or African American; American Indian and Alaska Native; Asian,
B02003,38,B02003_038,Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander,
B02003,39,B02003_039,Black or African American; American Indian and Alaska Native; Some other race,
B02003,40,B02003_040,Black or African American; Asian; Native Hawaiian and Other Pacific Islander,
B02003,41,B02003_041,Black or African American; Asian; Some other race,
B02003,42,B02003_042,Black or African American; Native Hawaiian and Other Pacific Islander; Some other race,
B02003,43,B02003_043,American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander,
B02003,44,B02003_044,American Indian and Alaska Native; Asian; Some other race,
B02003,45,B02003_045,American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some other race,
